# Obtained using Overpass Turbo at http://overpass-turbo.eu/ with the
# following query on 2021-03-14:
#  [out:csv(::lat,::lon,place,name)];
#  area["name:en"="Finland"];
#  node(area)[place~"^(city|town)$"];
#  out;
@lat	@lon	place	name
61.6775495	24.3587506	town	Orivesi
64.2667732	24.8000331	town	Oulainen
64.9333388	25.4166674	town	Oulunsalo
62.7255326	29.0186972	town	Outokumpu
61.3512901	25.2785646	town	Padasjoki
60.4570244	22.6883278	town	Paimio
61.3371322	24.2649422	town	Pälkäne
64.4068668	27.8335512	town	Paltamo
60.3054487	22.2996452	town	Pargas
61.5500927	29.4999948	town	Parikkala
62.0102011	23.0245972	town	Parkano
64.7000027	24.5833258	town	Pattijoki
66.7747332	23.9676822	town	Pello
60.2050782	23.1235771	town	Perniö
62.2504776	25.2004692	town	Petäjävesi
63.2333327	26.7500075	town	Pielavesi
61.5594163	21.6121352	town	Pihlava
63.3706192	25.5754689	town	Pihtipudas
60.4254332	22.5130886	town	Piikkiö
61.4654497	23.6456252	town	Pirkkala
60.1000032	23.5166623	town	Pojo
62.8545083	29.3669331	town	Polvijärvi
66.1092595	28.1650783	town	Posio
65.3604010	26.9984899	town	Pudasjärvi
64.8729778	27.6552537	town	Puolanka
63.6809739	25.9733504	town	Pyhäsalmi
64.4663193	24.2550528	town	Pyhäjoki
60.5288653	24.7582108	town	Rajamäki
65.9276817	26.5131044	town	Ranua
62.6206984	26.8384638	town	Rautalampi
61.4318984	29.3523937	town	Simpele
61.2912416	28.8295473	town	Ruokolahti
64.6646025	25.1031007	town	Ruukki
63.2998870	23.1573335	town	Kortesjärvi
61.0506941	22.3336690	town	Säkylä
66.8318774	28.6668631	town	Salla
60.3846716	23.1286377	city	Salo
61.1982660	27.6815422	town	Savitaipale
60.3761990	25.2651428	town	Sipoo
63.0743109	27.6623456	town	Siilinjärvi
60.4941133	26.7110929	town	Siltakylä
67.4189716	26.5902179	town	Sodankylä
63.6689479	27.5233154	town	Sonkajärvi
64.1318262	28.3878316	town	Sotkamo
62.5659891	25.8546717	town	Suolahti
62.6241926	27.1245609	town	Suonenjoki
65.5752942	28.2425866	town	Taivalkoski
60.8087874	23.7598248	town	Tammela
60.8151183	24.6258213	town	Tervakoski
62.4868680	21.7420491	town	Teuva
62.3897020	25.6458923	town	Tikkakoski
62.2259448	30.3335512	town	Tohmajärvi
65.8457589	24.1464000	town	Tornio
60.4017496	25.0280695	town	Tuusula
64.7621368	25.6498871	town	Tyrnävä
62.9166655	30.2499931	town	Uimaharju
60.8016507	21.4086143	town	Uusikaupunki
64.5565274	26.8466518	town	Vaala
63.0560665	22.1083711	town	Vähäkyrö
63.4719205	23.7925660	town	Veteli
63.7500000	27.0166670	town	Vieremä
62.3709678	25.9049979	town	Vihtavuori
60.4168803	24.3205580	town	Vihti
61.2101279	23.7677914	town	Viiala
63.0837203	25.8528349	town	Viitasaari
62.0168263	24.5155600	town	Vilppula
63.1614796	23.8177693	town	Vimpeli
60.2000053	24.0000100	town	Virkkala
62.2402483	23.7725594	town	Virrat
61.2500021	26.0666714	town	Heinolan kirkonkylä
61.2839792	22.6938146	town	Äetsä
65.3218756	25.3716223	town	Ii
61.6877956	27.2726569	city	Mikkeli
62.6114311	29.5513797	town	Ylämylly
63.1441197	22.7956213	town	Ylihärmä
62.9504049	22.5241451	town	Ylistaro
66.3164258	23.6712997	town	Ylitornio
64.0728903	24.5327326	town	Ylivieska
61.5499614	23.5969495	town	Ylöjärvi
61.4154610	26.8797256	town	Mäntyharju
60.9376662	26.8037057	town	Valkeala
60.5937982	22.3833761	town	Paattinen
63.4940502	28.2984908	town	Rautavaara
64.1459667	28.2696599	town	Vuokatti
62.7050975	25.2582688	town	Saarijärvi
60.3806549	23.5925864	town	Suomusjärvi
63.5435189	23.5151436	town	Terjärv
61.5073697	25.6738915	town	Sysmä
61.7970090	25.7046425	town	Luhanka
62.0168002	25.5611984	town	Korpilahti
68.3854896	23.6437979	town	Hetta
67.9593397	23.6774037	town	Muonio
62.5007704	25.4379608	town	Uurainen
61.1668495	23.8635191	town	Toijala
61.0811504	23.5489697	town	Urjala
62.0962173	26.0804935	town	Toivakka
61.9121222	26.1239361	town	Leivonmäki
61.5799007	26.0206428	town	Hartola
61.2027188	26.0313710	town	Heinola
62.7795996	25.8078233	town	Konginkangas
62.6571684	26.0467759	town	Sumiainen
68.9062456	27.0260771	town	Inari
62.8129715	28.4739890	town	Tuusniemi
60.7200611	26.4449324	town	Elimäki
61.4721221	22.1529097	town	Kullaa
61.5957453	22.5834020	town	Lavia
63.9082625	24.5159868	town	Sievi
61.8689933	28.8797178	town	Savonlinna
62.0887054	28.9161938	town	Enonkoski
62.4263852	28.6328857	town	Heinävesi
61.8961369	27.8597270	town	Juva
62.1782081	27.8284927	town	Joroinen
61.7561025	29.3892377	town	Punkaharju
61.5840144	27.6456221	town	Anttola
64.0962960	26.3316485	town	Pyhäntä
67.3303348	23.7814738	town	Kolari
61.5133807	23.0022751	town	Mouhijärvi
69.9076010	27.0252458	town	Utsjoki
